engine_id,feature,shap_value,abs_shap,rank_local
1,tr_s11_slope5,0.32845326911192385,0.32845326911192385,1
1,rc_s11_pct1,0.2364376112818718,0.2364376112818718,2
1,sensor_measurement_20_kalman,-0.18846891972546775,0.18846891972546775,3
1,rs_s2_rmin5,0.18547484278678894,0.18547484278678894,4
1,tr_s9_slope5,0.1811812728527002,0.1811812728527002,5
1,operational_setting_1,-0.14659584818873556,0.14659584818873556,6
1,sensor_measurement_12_kalman,-0.14474673966566723,0.14474673966566723,7
1,sensor_measurement_3_kalman,0.13427917581526952,0.13427917581526952,8
1,rs_s3_rmin5,-0.13190265763550996,0.13190265763550996,9
1,tr_s4_slope5,0.12284688636039694,0.12284688636039694,10
1,sensor_measurement_17_kalman,0.12238973461523225,0.12238973461523225,11
1,sensor_measurement_4_kalman,-0.11675072194387516,0.11675072194387516,12
1,tr_s17_slope5,0.1154620566754602,0.1154620566754602,13
1,tr_s15_slope5,-0.10970367236683766,0.10970367236683766,14
1,rc_s13_pct1,-0.10126851902653773,0.10126851902653773,15
1,sensor_measurement_7_kalman,0.1007986819682022,0.1007986819682022,16
1,tr_s12_slope5,0.09392461266834289,0.09392461266834289,17
1,rc_s2_pct1,-0.09164028693921863,0.09164028693921863,18
1,rs_s21_rmin5,-0.08811310577439144,0.08811310577439144,19
1,si_s7_s11_ratio,0.08734030528770138,0.08734030528770138,20
1,tr_s8_slope5,-0.08679107322047154,0.08679107322047154,21
1,rs_s13_rmin5,-0.08518492290750146,0.08518492290750146,22
1,rs_s12_rmin5,-0.08132216446101666,0.08132216446101666,23
1,sensor_measurement_9_kalman,0.07853746895367901,0.07853746895367901,24
1,sensor_measurement_2_kalman,0.06730458252131939,0.06730458252131939,25
1,rc_s12_pct1,-0.06675701855371395,0.06675701855371395,26
1,rc_s9_pct1,0.06441962774357914,0.06441962774357914,27
1,si_s4_s12_ratio,-0.06063512555944423,0.06063512555944423,28
1,rc_s7_pct1,0.06046656748900811,0.06046656748900811,29
1,rc_s3_pct1,-0.059120450036910674,0.059120450036910674,30
1,sensor_measurement_21_kalman,-0.05757625801488757,0.05757625801488757,31
1,si_s4_s2_prod,0.057046234825005135,0.057046234825005135,32
1,rs_s8_rmin5,-0.05637880665405343,0.05637880665405343,33
1,tr_s20_slope5,0.0561488913372159,0.0561488913372159,34
1,rc_s8_pct1,-0.054103982332162556,0.054103982332162556,35
1,si_s11_s12_prod,0.05154596805805341,0.05154596805805341,36
1,sensor_measurement_13_kalman,0.047004904175022,0.047004904175022,37
1,rs_s20_rmin5,0.04678907867249412,0.04678907867249412,38
1,rs_s11_rmin5,0.043117736332351345,0.043117736332351345,39
1,rs_s7_rmin5,0.042439936329416623,0.042439936329416623,40
1,rs_s9_rmin5,-0.04243511400806407,0.04243511400806407,41
1,rc_s15_pct1,-0.04045406132936478,0.04045406132936478,42
1,tr_s7_slope5,0.03951813132346918,0.03951813132346918,43
1,si_s4_s12_prod,0.035747326576771835,0.035747326576771835,44
1,tr_s2_slope5,0.03517671307587686,0.03517671307587686,45
1,rc_s20_pct1,0.03154329974204302,0.03154329974204302,46
1,tr_s21_slope5,0.022163002581752758,0.022163002581752758,47
1,sensor_measurement_11_kalman,-0.021953053546652276,0.021953053546652276,48
